,open,high,low,close,adjclose,volume,ticker
2003-07-23,0.43209800124168396,0.4979420006275177,0.43209800124168396,0.4567900002002716,0.37121477723121643,38567016.0,7160.KL
2003-07-24,0.46296200156211853,0.46502000093460083,0.43415600061416626,0.440328985452652,0.3578375279903412,4935816.0,7160.KL
2003-07-25,0.4362129867076874,0.4588469862937927,0.42798298597335815,0.452674001455307,0.3678698241710663,6540102.0,7160.KL
2003-07-28,0.46296200156211853,0.46296200156211853,0.440328985452652,0.4423860013484955,0.3595091998577118,2526228.0,7160.KL
2003-07-29,0.4423860013484955,0.452674001455307,0.43004098534584045,0.4382709860801697,0.3561651408672333,6522120.0,7160.KL
2003-07-30,0.4362129867076874,0.48353898525238037,0.4362129867076874,0.47119298577308655,0.38291946053504944,9138258.0,7160.KL
2003-07-31,0.47736600041389465,0.47942298650741577,0.452674001455307,0.4567900002002716,0.37121477723121643,1833678.0,7160.KL
2003-08-01,0.4588469862937927,0.47736600041389465,0.4588469862937927,0.47530800104141235,0.38626357913017273,2401326.0,7160.KL
2003-08-04,0.47325098514556885,0.47325098514556885,0.4588469862937927,0.46502000093460083,0.37790292501449585,757674.0,7160.KL
2003-08-05,0.46707800030708313,0.46707800030708313,0.452674001455307,0.452674001455307,0.3678698241710663,4832784.0,7160.KL
2003-08-06,0.4547320008277893,0.46707800030708313,0.4485589861869812,0.460904985666275,0.37455880641937256,2481516.0,7160.KL
2003-08-07,0.460904985666275,0.46296200156211853,0.452674001455307,0.46296200156211853,0.37623050808906555,2196234.0,7160.KL
2003-08-08,0.4588469862937927,0.460904985666275,0.4547320008277893,0.4547320008277893,0.36954230070114136,1085724.0,7160.KL
2003-08-11,0.4547320008277893,0.460904985666275,0.452674001455307,0.4588469862937927,0.3728863596916199,1426896.0,7160.KL
2003-08-12,0.4588469862937927,0.5390939712524414,0.4588469862937927,0.5390939712524414,0.43809983134269714,18254646.0,7160.KL
2003-08-13,0.5534970164299011,0.5596699714660645,0.5246909856796265,0.52674800157547,0.42806679010391235,5463126.0,7160.KL
2003-08-14,0.52674800157547,0.5432090163230896,0.512345016002655,0.534978985786438,0.434755802154541,2673486.0,7160.KL
2003-08-15,0.5288059711456299,0.5288059711456299,0.5288059711456299,0.5288059711456299,0.42973920702934265,2600586.0,7160.KL
2003-08-18,0.5288059711456299,0.5720160007476807,0.52674800157547,0.563785970211029,0.4581660032272339,8867556.0,7160.KL
2003-08-19,0.569957971572876,0.5720160007476807,0.5493819713592529,0.555554986000061,0.45147705078125,2922318.0,7160.KL
2003-08-20,0.5596699714660645,0.5843619704246521,0.5596699714660645,0.5679010152816772,0.46151018142700195,4279716.0,7160.KL
2003-08-21,0.5740739703178406,0.5761309862136841,0.563785970211029,0.569957971572876,0.4631817936897278,1728216.0,7160.KL
2003-08-22,0.5761309862136841,0.5884770154953003,0.569957971572876,0.5761309862136841,0.468198299407959,4083858.0,7160.KL
2003-08-25,0.5864189863204956,0.5884770154953003,0.5802459716796875,0.5843619704246521,0.47488734126091003,1857006.0,7160.KL
2003-08-26,0.5843619704246521,0.6152259707450867,0.5781890153884888,0.6090530157089233,0.4949527680873871,3370410.0,7160.KL
2003-08-27,0.6131680011749268,0.6296290159225464,0.6131680011749268,0.6172829866409302,0.5016409158706665,3209058.0,7160.KL
2003-08-28,0.6213989853858948,0.6213989853858948,0.5761309862136841,0.5967069864273071,0.4849196672439575,3693114.0,7160.KL
2003-08-29,0.5967069864273071,0.6255139708518982,0.5925920009613037,0.6213989853858948,0.5049858689308167,2175336.0,7160.KL
2003-09-01,0.6213989853858948,0.6213989853858948,0.6213989853858948,0.6213989853858948,0.5049858689308167,0.0,7160.KL
2003-09-02,0.6213989853858948,0.6213989853858948,0.6049379706382751,0.6069949865341187,0.493280291557312,966168.0,7160.KL
2003-09-03,0.6090530157089233,0.6090530157089233,0.590533971786499,0.6049379706382751,0.4916086196899414,2256984.0,7160.KL
2003-09-04,0.6049379706382751,0.6255139708518982,0.5967069864273071,0.6172829866409302,0.5016409158706665,2459646.0,7160.KL
2003-09-05,0.6172829866409302,0.6172829866409302,0.5967069864273071,0.5967069864273071,0.4849196672439575,2594754.0,7160.KL
2003-09-08,0.5967069864273071,0.5967069864273071,0.5884770154953003,0.5946499705314636,0.4832479953765869,2919402.0,7160.KL
2003-09-09,0.5967069864273071,0.5967069864273071,0.5884770154953003,0.5946499705314636,0.4832479953765869,1705374.0,7160.KL
2003-09-10,0.569957971572876,0.5864189863204956,0.569957971572876,0.5864189863204956,0.47655898332595825,2412990.0,7160.KL
2003-09-11,0.5802459716796875,0.5946499705314636,0.5781890153884888,0.5884770154953003,0.4782315194606781,1884708.0,7160.KL
2003-09-12,0.590533971786499,0.5946499705314636,0.5884770154953003,0.590533971786499,0.47990304231643677,884520.0,7160.KL
2003-09-15,0.5884770154953003,0.5925920009613037,0.5884770154953003,0.590533971786499,0.47990304231643677,197802.0,7160.KL
2003-09-16,0.5925920009613037,0.5967069864273071,0.5884770154953003,0.5884770154953003,0.4782315194606781,309582.0,7160.KL
2003-09-17,0.5967069864273071,0.6131680011749268,0.5967069864273071,0.6028800010681152,0.4899361729621887,1564920.0,7160.KL
2003-09-18,0.5987650156021118,0.6111109852790833,0.5967069864273071,0.5967069864273071,0.4849196672439575,70956.0,7160.KL
2003-09-19,0.5967069864273071,0.6152259707450867,0.5967069864273071,0.6028800010681152,0.4899361729621887,1420092.0,7160.KL
2003-09-22,0.6028800010681152,0.6028800010681152,0.5843619704246521,0.5884770154953003,0.4782315194606781,670680.0,7160.KL
2003-09-23,0.5781890153884888,0.5946499705314636,0.5781890153884888,0.5884770154953003,0.4782315194606781,836406.0,7160.KL
2003-09-24,0.5884770154953003,0.6028800010681152,0.5884770154953003,0.5967069864273071,0.4849196672439575,819396.0,7160.KL
2003-09-25,0.5864189863204956,0.6008229851722717,0.5864189863204956,0.5884770154953003,0.4782315194606781,563760.0,7160.KL
2003-09-26,0.5864189863204956,0.6069949865341187,0.5864189863204956,0.5967069864273071,0.4849196672439575,623538.0,7160.KL
2003-09-29,0.5967069864273071,0.5987650156021118,0.5925920009613037,0.5967069864273071,0.4849196672439575,1037124.0,7160.KL
2003-09-30,0.5967069864273071,0.6049379706382751,0.5967069864273071,0.6008229851722717,0.4882645308971405,1287414.0,7160.KL
2003-10-01,0.5967069864273071,0.6131680011749268,0.5967069864273071,0.5967069864273071,0.4849196672439575,384426.0,7160.KL
2003-10-02,0.5987650156021118,0.6069949865341187,0.5946499705314636,0.5967069864273071,0.4849196672439575,768852.0,7160.KL
2003-10-03,0.5967069864273071,0.6008229851722717,0.5967069864273071,0.5967069864273071,0.4849196672439575,116640.0,7160.KL
2003-10-06,0.5967069864273071,0.5987650156021118,0.5967069864273071,0.5987650156021118,0.4865921437740326,179820.0,7160.KL
2003-10-07,0.5987650156021118,0.6337440013885498,0.5987650156021118,0.6172829866409302,0.5016409158706665,1623726.0,7160.KL
2003-10-08,0.6255139708518982,0.6378600001335144,0.6255139708518982,0.6337440013885498,0.515018105506897,1241244.0,7160.KL
2003-10-09,0.6378600001335144,0.6584360003471375,0.6296290159225464,0.6378600001335144,0.5183630585670471,949644.0,7160.KL
2003-10-10,0.6419749855995178,0.6419749855995178,0.6255139708518982,0.6378600001335144,0.5183630585670471,614304.0,7160.KL
2003-10-13,0.6337440013885498,0.6502050161361694,0.6296290159225464,0.6460899710655212,0.5250511765480042,344574.0,7160.KL
2003-10-14,0.6460899710655212,0.6625509858131409,0.6419749855995178,0.6543200016021729,0.5317394137382507,821340.0,7160.KL
2003-10-15,0.6378600001335144,0.6584360003471375,0.6378600001335144,0.6502050161361694,0.5283953547477722,1173204.0,7160.KL
2003-10-16,0.6460899710655212,0.6584360003471375,0.6460899710655212,0.6460899710655212,0.5250511765480042,634230.0,7160.KL
2003-10-17,0.6502050161361694,0.6502050161361694,0.6378600001335144,0.6378600001335144,0.5183630585670471,160380.0,7160.KL
2003-10-20,0.6337440013885498,0.6337440013885498,0.6172829866409302,0.6255139708518982,0.5083298683166504,164268.0,7160.KL
2003-10-21,0.6337440013885498,0.6460899710655212,0.6337440013885498,0.6419749855995178,0.5217071175575256,295488.0,7160.KL
2003-10-22,0.6419749855995178,0.6502050161361694,0.6419749855995178,0.6460899710655212,0.5250511765480042,79704.0,7160.KL
2003-10-23,0.6460899710655212,0.6543200016021729,0.6378600001335144,0.6460899710655212,0.5250511765480042,445662.0,7160.KL
2003-10-24,0.6460899710655212,0.6460899710655212,0.6460899710655212,0.6460899710655212,0.5250511765480042,0.0,7160.KL
2003-10-27,0.6213989853858948,0.6790120005607605,0.6213989853858948,0.6625509858131409,0.5384283661842346,462186.0,7160.KL
2003-10-28,0.6707810163497925,0.6748970150947571,0.6460899710655212,0.6625509858131409,0.5384283661842346,47142.0,7160.KL
2003-10-29,0.6502050161361694,0.6584360003471375,0.6460899710655212,0.6502050161361694,0.5283953547477722,411642.0,7160.KL
2003-10-30,0.6584360003471375,0.6584360003471375,0.6502050161361694,0.6502050161361694,0.5283953547477722,97200.0,7160.KL
2003-10-31,0.6502050161361694,0.6502050161361694,0.6337440013885498,0.6460899710655212,0.5250511765480042,530226.0,7160.KL
2003-11-03,0.6584360003471375,0.6584360003471375,0.6502050161361694,0.6502050161361694,0.5283953547477722,96228.0,7160.KL
2003-11-04,0.6543200016021729,0.6543200016021729,0.6460899710655212,0.6543200016021729,0.5317394137382507,151146.0,7160.KL
2003-11-05,0.6584360003471375,0.6790120005607605,0.6543200016021729,0.6543200016021729,0.5317394137382507,1255824.0,7160.KL
